Profit Weight,Inventory Weight,Time Weight,Quantity Weight,Objective Value,Total Bikes Produced,Unused Inventory,Production Time,Profit
0.01,-1.0,-1.0,0.5,4372.0,0.0,4372.0,0.0,0.0
0.01,-1.0,-1.0,1.0,4372.0,0.0,4372.0,0.0,0.0
0.01,-1.0,-1.0,2.0,4372.0,0.0,4372.0,0.0,0.0
0.01,-1.0,-3.0,0.5,4372.0,0.0,4372.0,0.0,0.0
0.01,-1.0,-3.0,1.0,4662.36,595.0,1397.0,714.0,5235.999999999998
0.01,-1.0,-3.0,2.0,5733.584000000001,596.0,1391.0,715.0,5258.399999999998
0.01,-1.0,-5.0,0.5,5554.860000000001,595.0,1397.0,714.0,5235.999999999998
0.01,-1.0,-5.0,1.0,6091.084,596.0,1391.0,715.0,5258.399999999998
0.01,-1.0,-5.0,2.0,7163.584000000001,596.0,1391.0,715.0,5258.399999999998
0.01,-2.0,-1.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-1.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-1.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-3.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-3.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-3.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-5.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-5.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-2.0,-5.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-1.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-1.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-1.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-3.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-3.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-3.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-5.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-5.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.01,-3.0,-5.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-1.0,-1.0,0.5,4372.0,0.0,4372.0,0.0,0.0
0.05,-1.0,-1.0,1.0,4372.0,0.0,4372.0,0.0,0.0
0.05,-1.0,-1.0,2.0,4514.8,595.0,1397.0,714.0,5235.999999999998
0.05,-1.0,-3.0,0.5,4372.0,0.0,4372.0,0.0,0.0
0.05,-1.0,-3.0,1.0,4871.799999999999,595.0,1397.0,714.0,5235.999999999998
0.05,-1.0,-3.0,2.0,5943.919999999999,596.0,1391.0,715.0,5258.399999999998
0.05,-1.0,-5.0,0.5,5765.17,596.0,1391.0,715.0,5258.399999999998
0.05,-1.0,-5.0,1.0,6301.42,596.0,1391.0,715.0,5258.399999999998
0.05,-1.0,-5.0,2.0,7408.719999999999,625.0,1188.0,738.1999999999999,6302.399999999997
0.05,-2.0,-1.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-1.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-1.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-3.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-3.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-3.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-5.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-5.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.05,-2.0,-5.0,2.0,8767.8,595.0,1397.0,714.0,5235.999999999998
0.05,-3.0,-1.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-1.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-1.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-3.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-3.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-3.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-5.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-5.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.05,-3.0,-5.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-1.0,-1.0,0.5,4372.0,0.0,4372.0,0.0,0.0
0.1,-1.0,-1.0,1.0,4372.0,0.0,4372.0,0.0,0.0
0.1,-1.0,-1.0,2.0,4776.84,596.0,1391.0,715.0,5258.399999999998
0.1,-1.0,-3.0,0.5,4598.1,595.0,1397.0,714.0,5235.999999999998
0.1,-1.0,-3.0,1.0,5140.139999999999,625.0,1188.0,738.1999999999999,6302.399999999997
0.1,-1.0,-3.0,2.0,6247.92,626.0,1178.0,738.8,6371.199999999997
0.1,-1.0,-5.0,0.5,6062.89,625.0,1188.0,738.1999999999999,6302.399999999997
0.1,-1.0,-5.0,1.0,6617.32,626.0,1178.0,738.8,6371.199999999997
0.1,-1.0,-5.0,2.0,7741.360000000001,670.0,606.0,756.4,10841.599999999997
0.1,-2.0,-1.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-1.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-1.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,2.0,9029.6,595.0,1397.0,714.0,5235.999999999998
0.1,-3.0,-1.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-1.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-1.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,2.0,13116.0,0.0,4372.0,0.0,0.0
